event_id,machine_id,line_id,start_time,end_time,duration_min,cause_code,severity,shift_id,operator_name
54,M01,L1,2024-01-29T17:10:00,2024-01-29T17:21:00,11,MECH_FAILURE,LOW,EVENING,Taylor
55,M01,L1,2024-03-08T09:33:00,2024-03-08T09:38:00,5,MECH_FAILURE,LOW,MORNING,Sam
56,M02,L1,2024-08-11T06:55:00,2024-08-11T07:32:00,37,SENSOR_FAULT,LOW,MORNING,Sam
57,M02,L1,2024-09-18T15:02:00,2024-09-18T15:14:00,12,MECH_FAILURE,LOW,EVENING,Taylor
58,M02,L1,2024-03-26T00:14:00,2024-03-26T00:35:00,21,MECH_FAILURE,MEDIUM,NIGHT,Alex
59,M02,L1,2024-07-08T08:27:00,2024-07-08T09:09:00,42,MECH_FAILURE,MEDIUM,MORNING,Sam
60,M02,L1,2024-11-09T01:44:00,2024-11-09T02:04:00,20,SENSOR_FAULT,LOW,NIGHT,Sam
61,M02,L1,2024-01-20T15:16:00,2024-01-20T15:34:00,18,MECH_FAILURE,HIGH,EVENING,Riley
62,M02,L1,2024-04-05T01:15:00,2024-04-05T01:55:00,40,SENSOR_FAULT,LOW,NIGHT,Taylor
63,M02,L1,2024-09-23T23:49:00,2024-09-24T00:23:00,34,MATERIAL_JAM,LOW,NIGHT,Jordan
64,M02,L1,2024-07-22T08:26:00,2024-07-22T08:39:00,13,MECH_FAILURE,LOW,MORNING,Sam
65,M02,L1,2024-12-23T00:39:00,2024-12-23T00:54:00,15,MECH_FAILURE,LOW,NIGHT,Taylor
66,M02,L1,2024-10-18T16:29:00,2024-10-18T17:57:00,88,CHANGEOVER_ISSUE,HIGH,EVENING,Morgan
67,M02,L1,2024-08-03T16:24:00,2024-08-03T16:35:00,11,MECH_FAILURE,MEDIUM,EVENING,Jordan
68,M02,L1,2024-10-01T23:29:00,2024-10-02T00:00:00,31,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Alex
69,M02,L1,2024-10-08T14:52:00,2024-10-08T15:27:00,35,MECH_FAILURE,LOW,EVENING,Taylor
70,M02,L1,2024-09-20T00:54:00,2024-09-20T01:52:00,58,SENSOR_FAULT,MEDIUM,NIGHT,Alex
71,M02,L1,2024-03-17T00:28:00,2024-03-17T00:55:00,27,SENSOR_FAULT,LOW,NIGHT,Taylor
72,M02,L1,2024-02-08T09:07:00,2024-02-08T10:33:00,86,MATERIAL_JAM,LOW,MORNING,Taylor
73,M02,L1,2024-07-09T22:30:00,2024-07-09T22:47:00,17,MECH_FAILURE,MEDIUM,NIGHT,Riley
74,M02,L1,2024-08-30T09:05:00,2024-08-30T10:34:00,89,MECH_FAILURE,MEDIUM,MORNING,Sam
75,M02,L1,2024-08-26T23:53:00,2024-08-27T00:41:00,48,MECH_FAILURE,LOW,NIGHT,Taylor
76,M02,L1,2024-11-01T17:34:00,2024-11-01T18:25:00,51,MECH_FAILURE,MEDIUM,EVENING,Sam
77,M02,L1,2024-01-17T22:43:00,2024-01-17T23:05:00,22,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Sam
78,M02,L1,2024-04-13T06:16:00,2024-04-13T06:30:00,14,MECH_FAILURE,MEDIUM,MORNING,Alex
79,M02,L1,2024-02-03T15:50:00,2024-02-03T16:57:00,67,SENSOR_FAULT,LOW,EVENING,Morgan
80,M02,L1,2024-04-02T17:37:00,2024-04-02T18:08:00,31,MATERIAL_JAM,LOW,EVENING,Riley
81,M02,L1,2024-02-28T01:35:00,2024-02-28T02:32:00,57,MATERIAL_JAM,LOW,NIGHT,Sam
82,M02,L1,2024-04-06T14:07:00,2024-04-06T14:24:00,17,MATERIAL_JAM,MEDIUM,EVENING,Morgan
83,M02,L1,2024-10-07T08:52:00,2024-10-07T08:57:00,5,MECH_FAILURE,HIGH,MORNING,Morgan
84,M02,L1,2024-04-01T14:00:00,2024-04-01T15:17:00,77,SENSOR_FAULT,MEDIUM,EVENING,Morgan
85,M02,L1,2024-05-14T01:50:00,2024-05-14T02:35:00,45,MATERIAL_JAM,LOW,NIGHT,Taylor
86,M02,L1,2024-05-10T17:25:00,2024-05-10T17:40:00,15,MECH_FAILURE,LOW,EVENING,Jordan
87,M02,L1,2024-05-21T23:34:00,2024-05-22T00:11:00,37,MECH_FAILURE,MEDIUM,NIGHT,Jordan
88,M02,L1,2024-03-19T01:31:00,2024-03-19T01:56:00,25,MATERIAL_JAM,MEDIUM,NIGHT,Riley
89,M02,L1,2024-07-26T23:10:00,2024-07-26T23:50:00,40,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Alex
90,M02,L1,2024-07-13T00:37:00,2024-07-13T01:26:00,49,SENSOR_FAULT,HIGH,NIGHT,Sam
91,M02,L1,2024-10-10T22:07:00,2024-10-10T22:56:00,49,MATERIAL_JAM,HIGH,NIGHT,Jordan
92,M02,L1,2024-08-23T01:28:00,2024-08-23T01:58:00,30,MECH_FAILURE,MEDIUM,NIGHT,Sam
93,M02,L1,2024-04-27T17:07:00,2024-04-27T17:12:00,5,MECH_FAILURE,MEDIUM,EVENING,Morgan
94,M02,L1,2024-05-17T22:05:00,2024-05-17T22:16:00,11,MATERIAL_JAM,MEDIUM,NIGHT,Morgan
95,M02,L1,2024-09-10T06:09:00,2024-09-10T07:11:00,62,MATERIAL_JAM,LOW,MORNING,Jordan
96,M02,L1,2024-10-27T23:47:00,2024-10-27T23:52:00,5,MATERIAL_JAM,LOW,NIGHT,Sam
97,M02,L1,2024-07-10T15:29:00,2024-07-10T16:23:00,54,MATERIAL_JAM,MEDIUM,EVENING,Morgan
98,M02,L1,2024-06-07T23:16:00,2024-06-07T23:26:00,10,MATERIAL_JAM,LOW,NIGHT,Taylor
99,M02,L1,2024-06-21T14:35:00,2024-06-21T14:59:00,24,MECH_FAILURE,HIGH,EVENING,Riley
100,M02,L1,2024-05-22T22:49:00,2024-05-22T23:17:00,28,MECH_FAILURE,LOW,NIGHT,Sam
101,M02,L1,2024-05-11T15:33:00,2024-05-11T16:36:00,63,CHANGEOVER_ISSUE,LOW,EVENING,Morgan
102,M02,L1,2024-12-21T00:37:00,2024-12-21T00:42:00,5,MATERIAL_JAM,LOW,NIGHT,Morgan
103,M02,L1,2024-05-16T15:55:00,2024-05-16T16:21:00,26,MECH_FAILURE,LOW,EVENING,Sam
104,M02,L1,2024-05-31T00:52:00,2024-05-31T01:50:00,58,MECH_FAILURE,MEDIUM,NIGHT,Alex
105,M02,L1,2024-01-16T08:04:00,2024-01-16T08:20:00,16,MATERIAL_JAM,LOW,MORNING,Taylor
106,M02,L1,2024-09-29T17:05:00,2024-09-29T18:12:00,67,SENSOR_FAULT,LOW,EVENING,Taylor
107,M02,L1,2024-06-10T16:03:00,2024-06-10T17:02:00,59,SENSOR_FAULT,MEDIUM,EVENING,Alex
108,M02,L1,2024-07-15T16:38:00,2024-07-15T17:14:00,36,SENSOR_FAULT,LOW,EVENING,Jordan
109,M02,L1,2024-02-08T01:40:00,2024-02-08T02:36:00,56,MATERIAL_JAM,MEDIUM,NIGHT,Taylor
110,M02,L1,2024-12-12T06:56:00,2024-12-12T07:28:00,32,MECH_FAILURE,LOW,MORNING,Riley
111,M02,L1,2024-11-22T15:11:00,2024-11-22T15:16:00,5,SENSOR_FAULT,MEDIUM,EVENING,Sam
112,M03,L1,2024-11-18T07:50:00,2024-11-18T08:29:00,39,MECH_FAILURE,MEDIUM,MORNING,Sam
113,M03,L1,2024-09-17T16:19:00,2024-09-17T16:39:00,20,MECH_FAILURE,LOW,EVENING,Taylor
114,M03,L1,2024-02-25T22:18:00,2024-02-25T23:50:00,92,MATERIAL_JAM,LOW,NIGHT,Jordan
115,M03,L1,2024-06-30T17:50:00,2024-06-30T18:19:00,29,SENSOR_FAULT,MEDIUM,EVENING,Morgan
116,M03,L1,2024-09-28T09:06:00,2024-09-28T09:46:00,40,CHANGEOVER_ISSUE,LOW,MORNING,Alex
117,M03,L1,2024-03-26T17:53:00,2024-03-26T18:23:00,30,MATERIAL_JAM,MEDIUM,EVENING,Taylor
118,M03,L1,2024-07-30T16:43:00,2024-07-30T16:48:00,5,SENSOR_FAULT,MEDIUM,EVENING,Sam
119,M03,L1,2024-06-11T23:31:00,2024-06-11T23:53:00,22,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Morgan
120,M03,L1,2024-03-25T16:22:00,2024-03-25T16:27:00,5,MECH_FAILURE,LOW,EVENING,Taylor
121,M03,L1,2024-03-04T14:47:00,2024-03-04T15:36:00,49,MECH_FAILURE,MEDIUM,EVENING,Morgan
122,M03,L1,2024-09-06T08:46:00,2024-09-06T09:18:00,32,MECH_FAILURE,MEDIUM,MORNING,Morgan
123,M03,L1,2024-03-29T00:31:00,2024-03-29T01:25:00,54,MECH_FAILURE,MEDIUM,NIGHT,Jordan
124,M03,L1,2024-12-16T08:34:00,2024-12-16T09:30:00,56,MATERIAL_JAM,HIGH,MORNING,Taylor
125,M03,L1,2024-02-03T01:18:00,2024-02-03T02:10:00,52,MECH_FAILURE,MEDIUM,NIGHT,Taylor
126,M03,L1,2024-07-26T16:49:00,2024-07-26T17:50:00,61,CHANGEOVER_ISSUE,LOW,EVENING,Riley
127,M03,L1,2024-12-25T23:16:00,2024-12-25T23:52:00,36,SENSOR_FAULT,LOW,NIGHT,Morgan
128,M03,L1,2024-12-09T07:22:00,2024-12-09T07:52:00,30,MECH_FAILURE,LOW,MORNING,Alex
129,M03,L1,2024-11-26T09:45:00,2024-11-26T09:50:00,5,MECH_FAILURE,MEDIUM,MORNING,Alex
130,M03,L1,2024-08-10T08:46:00,2024-08-10T09:35:00,49,CHANGEOVER_ISSUE,MEDIUM,MORNING,Sam
131,M03,L1,2024-02-20T14:18:00,2024-02-20T14:49:00,31,SENSOR_FAULT,HIGH,EVENING,Alex
132,M03,L1,2024-02-02T00:23:00,2024-02-02T00:28:00,5,SENSOR_FAULT,HIGH,NIGHT,Jordan
133,M03,L1,2024-06-14T01:59:00,2024-06-14T02:53:00,54,MATERIAL_JAM,LOW,NIGHT,Morgan
134,M03,L1,2024-02-16T09:41:00,2024-02-16T10:24:00,43,MECH_FAILURE,MEDIUM,MORNING,Riley
135,M03,L1,2024-07-10T06:22:00,2024-07-10T07:44:00,82,MATERIAL_JAM,LOW,MORNING,Sam
136,M03,L1,2024-05-18T06:13:00,2024-05-18T06:18:00,5,MECH_FAILURE,LOW,MORNING,Sam
137,M03,L1,2024-06-22T09:06:00,2024-06-22T10:31:00,85,MECH_FAILURE,LOW,MORNING,Alex
138,M03,L1,2024-10-26T01:02:00,2024-10-26T01:07:00,5,MECH_FAILURE,LOW,NIGHT,Riley
139,M03,L1,2024-02-15T01:47:00,2024-02-15T01:58:00,11,MATERIAL_JAM,LOW,NIGHT,Jordan
140,M03,L1,2024-08-06T09:02:00,2024-08-06T10:06:00,64,MECH_FAILURE,MEDIUM,MORNING,Riley
141,M03,L1,2024-04-12T07:54:00,2024-04-12T07:59:00,5,MECH_FAILURE,LOW,MORNING,Morgan
142,M03,L1,2024-10-18T00:23:00,2024-10-18T00:50:00,27,MECH_FAILURE,LOW,NIGHT,Taylor
143,M03,L1,2024-07-23T00:42:00,2024-07-23T01:18:00,36,MATERIAL_JAM,LOW,NIGHT,Sam
144,M03,L1,2024-12-04T15:43:00,2024-12-04T15:59:00,16,MECH_FAILURE,LOW,EVENING,Taylor
145,M03,L1,2024-04-07T06:43:00,2024-04-07T06:53:00,10,SENSOR_FAULT,HIGH,MORNING,Alex
146,M03,L1,2024-08-13T16:57:00,2024-08-13T17:50:00,53,MATERIAL_JAM,LOW,EVENING,Riley
147,M03,L1,2024-12-03T06:38:00,2024-12-03T06:43:00,5,MATERIAL_JAM,LOW,MORNING,Jordan
148,M03,L1,2024-12-20T16:10:00,2024-12-20T16:33:00,23,MATERIAL_JAM,MEDIUM,EVENING,Jordan
149,M03,L1,2024-12-23T17:58:00,2024-12-23T19:33:00,95,MECH_FAILURE,LOW,EVENING,Alex
150,M03,L1,2024-07-17T17:41:00,2024-07-17T17:56:00,15,MECH_FAILURE,LOW,EVENING,Riley
151,M03,L1,2024-03-16T06:39:00,2024-03-16T06:44:00,5,SENSOR_FAULT,LOW,MORNING,Riley
152,M03,L1,2024-10-23T01:04:00,2024-10-23T01:30:00,26,MECH_FAILURE,HIGH,NIGHT,Taylor
153,M03,L1,2024-01-28T01:35:00,2024-01-28T01:49:00,14,MATERIAL_JAM,HIGH,NIGHT,Riley
154,M03,L1,2024-04-18T06:43:00,2024-04-18T06:48:00,5,MATERIAL_JAM,LOW,MORNING,Jordan
155,M03,L1,2024-08-05T22:36:00,2024-08-05T23:20:00,44,MECH_FAILURE,MEDIUM,NIGHT,Jordan
156,M03,L1,2024-06-03T14:19:00,2024-06-03T14:32:00,13,MECH_FAILURE,MEDIUM,EVENING,Jordan
157,M03,L1,2024-07-27T08:37:00,2024-07-27T09:16:00,39,MECH_FAILURE,LOW,MORNING,Riley
158,M03,L1,2024-01-15T16:40:00,2024-01-15T17:25:00,45,SENSOR_FAULT,LOW,EVENING,Riley
159,M03,L1,2024-08-09T00:58:00,2024-08-09T01:11:00,13,SENSOR_FAULT,MEDIUM,NIGHT,Jordan
160,M03,L1,2024-09-18T14:49:00,2024-09-18T15:32:00,43,MATERIAL_JAM,MEDIUM,EVENING,Morgan
161,M03,L1,2024-08-01T08:52:00,2024-08-01T08:57:00,5,CHANGEOVER_ISSUE,MEDIUM,MORNING,Taylor
162,M03,L1,2024-07-15T08:25:00,2024-07-15T09:04:00,39,MECH_FAILURE,LOW,MORNING,Jordan
163,M03,L1,2024-05-14T22:41:00,2024-05-14T23:35:00,54,SENSOR_FAULT,LOW,NIGHT,Morgan
164,M03,L1,2024-01-05T00:47:00,2024-01-05T01:21:00,34,MECH_FAILURE,LOW,NIGHT,Jordan
165,M03,L1,2024-12-30T16:23:00,2024-12-30T17:21:00,58,MATERIAL_JAM,HIGH,EVENING,Sam
166,M03,L1,2024-01-03T14:27:00,2024-01-03T15:29:00,62,MECH_FAILURE,HIGH,EVENING,Jordan
167,M03,L1,2024-09-26T23:04:00,2024-09-27T00:12:00,68,MATERIAL_JAM,LOW,NIGHT,Taylor
168,M03,L1,2024-08-12T23:31:00,2024-08-12T23:58:00,27,MATERIAL_JAM,MEDIUM,NIGHT,Alex
169,M03,L1,2024-03-11T14:38:00,2024-03-11T14:44:00,6,SENSOR_FAULT,MEDIUM,EVENING,Jordan
170,M03,L1,2024-03-23T23:50:00,2024-03-23T23:55:00,5,SENSOR_FAULT,LOW,NIGHT,Alex
171,M03,L1,2024-10-28T01:59:00,2024-10-28T02:27:00,28,MECH_FAILURE,LOW,NIGHT,Riley
172,M03,L1,2024-06-20T22:56:00,2024-06-20T23:20:00,24,MATERIAL_JAM,LOW,NIGHT,Riley
173,M03,L1,2024-06-29T23:36:00,2024-06-29T23:41:00,5,MATERIAL_JAM,LOW,NIGHT,Alex
174,M03,L1,2024-05-04T16:11:00,2024-05-04T16:22:00,11,SENSOR_FAULT,LOW,EVENING,Taylor
175,M04,L1,2024-02-01T09:06:00,2024-02-01T10:00:00,54,SENSOR_FAULT,LOW,MORNING,Morgan
176,M04,L1,2024-04-20T09:30:00,2024-04-20T10:01:00,31,MATERIAL_JAM,LOW,MORNING,Riley
177,M04,L1,2024-01-23T08:57:00,2024-01-23T09:21:00,24,MATERIAL_JAM,MEDIUM,MORNING,Alex
178,M04,L1,2024-05-18T14:53:00,2024-05-18T15:09:00,16,MATERIAL_JAM,LOW,EVENING,Alex
179,M04,L1,2024-03-18T16:29:00,2024-03-18T17:01:00,32,CHANGEOVER_ISSUE,MEDIUM,EVENING,Riley
180,M04,L1,2024-07-15T22:30:00,2024-07-15T23:46:00,76,CHANGEOVER_ISSUE,LOW,NIGHT,Morgan
181,M04,L1,2024-08-10T15:09:00,2024-08-10T15:37:00,28,SENSOR_FAULT,LOW,EVENING,Alex
182,M04,L1,2024-07-26T16:49:00,2024-07-26T17:42:00,53,SENSOR_FAULT,LOW,EVENING,Morgan
183,M04,L1,2024-10-06T17:43:00,2024-10-06T18:14:00,31,MATERIAL_JAM,MEDIUM,EVENING,Jordan
184,M04,L1,2024-12-30T07:24:00,2024-12-30T07:47:00,23,MECH_FAILURE,MEDIUM,MORNING,Morgan
185,M04,L1,2024-07-18T22:01:00,2024-07-18T22:52:00,51,MATERIAL_JAM,HIGH,NIGHT,Jordan
186,M04,L1,2024-05-02T00:54:00,2024-05-02T01:45:00,51,MECH_FAILURE,LOW,NIGHT,Morgan
187,M04,L1,2024-04-09T23:00:00,2024-04-09T23:44:00,44,CHANGEOVER_ISSUE,LOW,NIGHT,Riley
188,M04,L1,2024-07-11T09:05:00,2024-07-11T09:35:00,30,MATERIAL_JAM,HIGH,MORNING,Jordan
189,M04,L1,2024-12-09T07:24:00,2024-12-09T07:41:00,17,SENSOR_FAULT,LOW,MORNING,Jordan
190,M04,L1,2024-09-23T23:55:00,2024-09-24T00:35:00,40,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Taylor
191,M04,L1,2024-09-05T08:56:00,2024-09-05T09:55:00,59,SENSOR_FAULT,MEDIUM,MORNING,Alex
192,M04,L1,2024-03-21T08:46:00,2024-03-21T09:21:00,35,MECH_FAILURE,HIGH,MORNING,Riley
193,M04,L1,2024-02-15T00:31:00,2024-02-15T01:22:00,51,MATERIAL_JAM,LOW,NIGHT,Taylor
194,M04,L1,2024-11-23T00:23:00,2024-11-23T00:28:00,5,CHANGEOVER_ISSUE,LOW,NIGHT,Sam
195,M04,L1,2024-01-26T06:19:00,2024-01-26T06:55:00,36,MATERIAL_JAM,MEDIUM,MORNING,Riley
196,M04,L1,2024-04-02T22:49:00,2024-04-03T00:27:00,98,SENSOR_FAULT,LOW,NIGHT,Alex
197,M04,L1,2024-05-22T08:41:00,2024-05-22T09:02:00,21,SENSOR_FAULT,HIGH,MORNING,Alex
198,M04,L1,2024-09-18T00:22:00,2024-09-18T01:05:00,43,MECH_FAILURE,MEDIUM,NIGHT,Taylor
199,M04,L1,2024-05-06T09:00:00,2024-05-06T09:32:00,32,SENSOR_FAULT,MEDIUM,MORNING,Taylor
200,M04,L1,2024-11-18T14:25:00,2024-11-18T14:49:00,24,MECH_FAILURE,LOW,EVENING,Morgan
201,M04,L1,2024-08-08T14:22:00,2024-08-08T15:06:00,44,MECH_FAILURE,MEDIUM,EVENING,Riley
202,M04,L1,2024-03-02T07:31:00,2024-03-02T07:46:00,15,MECH_FAILURE,MEDIUM,MORNING,Sam
203,M04,L1,2024-03-04T07:52:00,2024-03-04T08:56:00,64,CHANGEOVER_ISSUE,LOW,MORNING,Jordan
204,M04,L1,2024-04-27T01:28:00,2024-04-27T02:14:00,46,MECH_FAILURE,LOW,NIGHT,Morgan
205,M04,L1,2024-09-28T00:55:00,2024-09-28T01:34:00,39,MECH_FAILURE,MEDIUM,NIGHT,Riley
206,M04,L1,2024-07-28T23:09:00,2024-07-28T23:14:00,5,SENSOR_FAULT,MEDIUM,NIGHT,Taylor
207,M04,L1,2024-04-01T17:25:00,2024-04-01T17:44:00,19,MATERIAL_JAM,MEDIUM,EVENING,Morgan
208,M04,L1,2024-06-23T09:45:00,2024-06-23T10:01:00,16,CHANGEOVER_ISSUE,LOW,MORNING,Sam
209,M04,L1,2024-05-23T15:34:00,2024-05-23T16:38:00,64,SENSOR_FAULT,MEDIUM,EVENING,Riley
210,M04,L1,2024-10-02T22:33:00,2024-10-02T22:38:00,5,MATERIAL_JAM,MEDIUM,NIGHT,Alex
211,M04,L1,2024-10-29T01:15:00,2024-10-29T02:23:00,68,MECH_FAILURE,HIGH,NIGHT,Riley
212,M04,L1,2024-02-16T23:01:00,2024-02-16T23:15:00,14,MECH_FAILURE,LOW,NIGHT,Taylor
213,M04,L1,2024-10-11T01:57:00,2024-10-11T02:40:00,43,CHANGEOVER_ISSUE,MEDIUM,NIGHT,Alex
214,M04,L1,2024-08-24T17:08:00,2024-08-24T17:37:00,29,MECH_FAILURE,MEDIUM,EVENING,Jordan
215,M04,L1,2024-08-17T22:07:00,2024-08-17T22:12:00,5,SENSOR_FAULT,LOW,NIGHT,Alex
216,M04,L1,2024-03-12T14:16:00,2024-03-12T14:21:00,5,MECH_FAILURE,LOW,EVENING,Morgan
217,M04,L1,2024-05-04T22:29:00,2024-05-04T23:44:00,75,SENSOR_FAULT,LOW,NIGHT,Taylor
218,M04,L1,2024-02-28T06:12:00,2024-02-28T06:43:00,31,MECH_FAILURE,LOW,MORNING,Alex
219,M04,L1,2024-01-08T14:32:00,2024-01-08T15:21:00,49,SENSOR_FAULT,MEDIUM,EVENING,Jordan
220,M04,L1,2024-01-30T00:08:00,2024-01-30T00:55:00,47,SENSOR_FAULT,HIGH,NIGHT,Morgan
221,M04,L1,2024-01-10T23:55:00,2024-01-11T00:16:00,21,MATERIAL_JAM,MEDIUM,NIGHT,Alex
222,M04,L1,2024-10-05T22:54:00,2024-10-05T23:45:00,51,MECH_FAILURE,LOW,NIGHT,Taylor
223,M05,L1,2024-11-08T09:46:00,2024-11-08T10:21:00,35,MECH_FAILURE,LOW,MORNING,Riley
224,M05,L1,2024-05-14T09:32:00,2024-05-14T09:49:00,17,SENSOR_FAULT,LOW,MORNING,Sam
